Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
AZI2,,,0.9,,0.38,,,,0.7,,0.8,,,,,0.65,,,0.6,,,0.6,0.5
AZIN1,0.85,,,,,,,,,,,,,,,,,,,,,,
AZIN2,,,0.0,,0.0,,,0.5,0.6,,0.8,,,,,,,,0.7,,,,
AZU1,,,0.0,,0.9,,,0.6,0.7,,0.8,,,,0.75,,,,0.5,1.0,,,
B2M,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
B3GALNT1,,1.0,0.0,,0.49,,,0.7,0.8,,,,,,0.6,,0.8,,0.5,,,,
B3GALNT2,,,0.0,,0.56,,0.5,,0.8,,0.9,,,,0.6,,0.75,,0.5,0.66,,,
B3GALT1,,,0.04,,0.37,,,,0.8,,0.66,,,,0.75,0.65,,,0.65,0.86,,,
B3GALT2,,,,0.91,0.12,,0.5,0.6,0.7,,0.9,,,,0.7,0.75,0.8,,0.84,0.86,,,
B3GALT4,0.5,,0.03,,0.34,,,,0.73,,0.66,,,,0.9,0.65,0.8,,0.75,0.72,,,
B3GALT5,,,0.0,,0.86,,,0.7,0.8,,0.74,,,,0.8,,,,0.5,,,,0.6
B3GALT5-AS1,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.5,,,1.0,
B3GALT6,0.7,,0.8,,,,,,,,,,0.9,,0.9,0.75,0.75,,,,,,
B3GAT1,,,0.15,,0.28,0.39,0.1,,0.75,,0.88,,,,0.9,0.65,0.8,,0.67,0.88,,,
B3GAT2,,,0.0,,0.78,,,0.3,0.6,,0.71,,,,0.8,0.6,,,0.5,,,,
B3GAT3,,,0.0,,0.84,0.38,0.5,0.73,0.73,,0.8,,,,0.67,0.62,,,0.67,,,0.5,
B3GLCT,0.8,,0.0,,,,,,,,,,0.9,,0.75,0.7,0.85,,,,0.79,,
B3GNT2,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
B3GNT3,,,,0.71,0.12,,0.1,0.45,0.64,,0.83,,,,0.5,0.65,0.8,,0.37,0.97,,,
B3GNT4,,,0.0,,0.89,,0.1,,0.7,,0.8,,,,0.6,,,,0.5,0.88,,,
B3GNT5,,1.0,,0.76,0.15,,,,,,,,0.95,,0.8,,,,0.75,,0.81,,
B3GNT6,,,0.0,,0.5,,,,0.7,,0.8,,,,0.8,0.5,,,0.6,0.99,,,
B3GNT7,,,,0.72,0.16,,0.6,,0.7,,0.79,,,,0.9,0.78,0.75,,0.8,0.91,,,
B3GNT8,,,0.0,,0.99,,0.5,,0.9,,0.8,,,,0.9,0.75,,,0.75,0.95,,,
B3GNT9,,,0.0,,0.93,,,,0.8,,0.6,,,,0.8,,,,0.5,,,,
B4GALNT1,0.8,,0.0,,0.45,,,,0.7,,0.9,,,,0.8,,,,0.5,0.93,,,
B4GALNT2,,,0.0,,0.95,,0.4,,0.6,,0.7,,,,0.8,,0.8,,0.5,0.99,,,
B4GALNT3,,,0.0,,0.57,,0.7,,0.6,,0.9,,,,0.7,,,,0.8,0.86,,,
B4GALNT4,,,0.8,,0.6,,,,0.6,,0.7,,,,0.8,,,,0.5,0.9,,,
B4GALT1,,1.0,0.04,,0.33,,0.8,,0.85,,0.9,,,,,,,,,,,,
B4GALT2,,,,,,,,,,,,0.8,,,,,,,,,,,
B4GALT3,,,,,,,,,,,,0.85,,,,,,,,,,,
B4GALT4,,,0.0,,0.71,,,0.6,0.8,,0.9,,,,,,0.8,,0.5,,,,
B4GALT5,,1.0,,1.0,0.0,,,,0.85,,0.9,,,,,,,,0.8,0.6,,,
B4GALT6,,,,0.92,0.14,,0.14,0.14,0.67,,0.88,,,,0.75,0.73,,,0.76,0.91,,,
B4GALT7,0.7,,0.0,,0.65,0.8,,,0.8,,0.9,,,,0.9,,,,0.5,,,0.6,
B4GAT1,0.7,,0.0,,,,,0.75,,,,,0.9,,0.6,0.7,0.8,,,,0.85,,
B9D1,0.8,,0.0,,0.48,,,,0.6,,0.9,,,,0.7,,,,0.5,,0.88,,
B9D2,,,0.0,,,,0.8,0.75,,,,,0.9,,,,,,,,,,
BAALC,,,0.0,,0.7,,,,0.8,,0.9,,,,0.7,,,,0.5,0.88,,,0.6
BAALC-AS2,,,0.0,,0.0,,,,0.8,,,,,,,0.1,,,0.5,,,0.2,
BAAT,0.8,,0.0,,0.82,,,0.3,0.7,,0.9,,,,,,,,0.5,,,,
BABAM1,,,,0.96,0.07,0.87,0.8,0.7,0.85,,0.9,,,,0.75,0.85,,,0.75,,,0.6,
BABAM2,,,0.0,,,,,,,,,,0.9,,,,,,,,0.7,,
BACE1,,,,0.88,0.16,,,,,,,,,,,,,,,,,,
BACE2,0.85,,0.9,,,,,,0.7,0.7,0.6,,,,,,0.9,,,0.75,,,0.6
BACH1,,,,0.53,0.21,,0.4,0.6,0.7,,0.9,,,,0.8,,,0.75,0.85,0.7,,,
BACH2,,,,1.0,0.93,0.85,0.9,,0.7,,0.8,,,,0.8,,,0.9,0.75,0.8,,,
BAD,,,0.0,,0.69,,,,0.8,,0.9,,,,0.8,,,,0.5,,,0.49,0.6
BAG1,,0.8,0.1,,,,,,,,,,,,,,,,,,,,
BAG2,,,0.04,,0.44,0.48,,,0.8,,0.9,,,,0.7,0.65,,,0.5,0.87,,,
BAG3,,1.0,,0.56,0.2,,0.4,,0.6,,0.8,,,,0.9,,,,,0.69,,,
BAG4,,,0.0,,,,0.8,0.6,,,,,0.9,,0.7,0.7,0.8,,,,,0.5,
BAG5,,,0.0,,0.77,,0.1,0.4,0.8,,0.9,,,,0.5,,,,0.5,0.76,,,
BAG6,,1.0,,1.0,0.08,0.9,,,0.6,,0.7,,,,,0.82,,,0.8,,,,
BAGE,,,0.0,,,,,,,,,,,,,,,,0.5,,,,
BAGE2,,,1.0,,1.0,1.0,,,0.8,,,,,,,,,,0.5,,,0.2,
BAGE3,,,1.0,,1.0,,,,0.7,,,,,,,,,,0.5,,,0.2,
BAGE4,,,1.0,,1.0,,,,0.5,,,,,,,,,,0.1,,,0.0,
BAGE5,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.1,,,0.2,
BAHCC1,,,0.0,,0.0,,,,0.6,,,,,,0.5,0.6,,,0.8,,,0.9,
BAHD1,,,,0.98,0.14,,,,0.7,,0.66,,,,,0.8,,,0.78,,,0.6,
BAIAP2,,,,,,,,,,,,0.9,,0.65,,,,,,,,,
BAIAP2L1,,,0.0,,,,0.5,,,,,,0.9,,0.6,0.65,,,,,0.8,,
BAIAP2L2,,,0.0,,0.74,0.8,,,0.8,,0.9,,,,0.7,0.75,0.85,,0.7,,,,
BAIAP3,,,0.0,,0.76,,,,0.7,,0.9,,,,0.6,0.75,,,0.8,0.99,,,
BAK1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
BAMBI,,,0.0,,0.58,,,0.1,0.65,,0.8,,,,0.6,,,,0.5,0.92,,,
BANF1,,,,,,,,,,,,,,,,,,,,,,,
BANF2,,,0.8,,0.7,,,,0.6,,,,0.9,,,,0.7,,0.5,1.0,,,
BANK1,0.8,,0.0,,,,0.9,,,,,,0.9,,0.8,,,,,,,,0.7
BANP,,,,1.0,0.1,,0.8,,0.75,,0.85,,,,0.8,,,,0.7,0.6,,,
BAP1,,,,1.0,0.12,,0.8,0.7,0.75,,0.9,,,,0.8,0.85,,,0.7,,,0.6,
BARD1,,1.0,0.0,,0.5,,0.8,0.5,0.6,,0.7,,,,,0.85,,0.8,,0.9,,,
BARHL1,,,0.17,,0.29,0.73,,,0.7,,0.85,,,,,,,,0.65,1.0,,,
BARHL2,,,,0.61,0.17,,0.6,,0.7,,0.8,,,,,,,,,1.0,,,
BARX1,,,,0.57,0.15,,0.4,,0.6,,0.8,,,,,,,,0.5,,1.0,,
BARX2,,,0.21,,0.27,,,,0.5,,0.66,,,,0.8,0.65,,,0.79,0.97,,,
BASP1,,,,,,,,,,,,,,,,,,,,,,,
BATF,,,,0.87,0.0,,0.1,,0.1,,0.286,,,,,0.75,,,0.125,1.0,,,
BATF2,,,,0.6,0.0,,,,0.6,,0.148,,,,,0.8,,,0.274,0.95,,,
BATF3,,,0.03,,0.52,,0.1,0.75,0.6,,0.79,,,,0.8,,,,0.13,0.77,,,
BAX,,,0.3,,0.25,0.1775,0.6,0.1,0.8,0.1,0.9,,,,,,,,0.192,0.78,,,
BAZ1A,,,,1.0,0.1,,0.9,,0.75,,0.85,,,,0.6,,,0.8,0.7,0.78,,,
BAZ1B,,1.0,,1.0,0.04,,0.8,,0.6,,0.7,,,,,,,,0.5,,,,
BAZ2A,,,,1.0,0.93,0.85,0.5,,0.65,0.6,0.7,,,,0.8,,,0.9,0.8,0.65,,,
BAZ2B,,,,0.97,0.2,,,0.6,0.7,0.8,0.9,,,,,,,,,,,,
BBC3,,,0.0,,0.8,,0.5,,0.7,,0.8,,,,0.9,,,,0.5,0.66,,,
BBIP1,0.8,,0.0,,,,,,,,,,0.9,,,,0.85,,,,0.6,,0.5
BBOF1,,,1.0,,1.0,,,,0.6,,0.8,,,,0.7,,,,0.5,0.9,,,
BBOX1,,,0.0,,0.99,,,0.5,0.7,,0.9,,,,,0.75,,,0.6,,,,
BBS1,1.0,1.0,0.0,,0.67,,,0.8,0.8,,,,0.75,,0.5,,,,,0.6,,,
BBS10,0.9,,0.0,,0.92,,,0.4,0.5,,0.6,,,,0.5,,,,0.7,,,0.6,
BBS12,0.8,,0.0,,,,,0.5,,,,,0.7,,0.6,0.7,0.9,,,,0.7,,
BBS2,0.8,,0.0,,0.74,,,,0.75,,,,0.9,,0.8,,,,0.7,,,,
BBS4,,,,,,,,,,,,1.0,,,,,,,,,,,
BBS5,0.9,,0.0,,,,,0.6,,,,,0.8,,,,0.6,,,,,,
BBS7,0.7,,0.0,,,,,0.7,,,,,0.8,,0.7,,,,,,,,
BBS9,,,0.0,,0.6,,0.8,,0.8,,0.9,,,,0.6,,0.5,,0.5,0.69,,,
BBX,,,0.43,,0.22,,0.4,,0.75,,0.82,,,,0.6,,,,0.94,0.71,,,
BCAM,,,0.0,,0.52,,0.5,0.6,0.7,,0.9,,,,,,,0.9,,0.87,,,
BCAN,,,0.0,,0.41,,0.5,0.6,0.8,,0.9,,,,0.8,,,,0.7,,,,
BCAP29,,,,,,,,,,,,0.9,,,,,,,,,,,
BCAP31,0.8,,0.42,,0.21,,,,,,,,0.9,,,,,,0.49,,,,0.6
BCAR1,0.7,1.0,,1.0,0.9,,0.6,0.2,0.7,,0.8,,,,,,,0.8,0.5,,,,
BCAR3,,,,,,,,,,,,1.0,,0.8,,,,,,,,,
BCAS1,,,0.0,,,,0.7,,,,,,0.8,,,,,,,,0.95,,
BCAS2,,,0.0,,0.87,,,0.75,0.8,,0.9,,,,0.7,,,,0.5,,,0.6,
BCAS3,,,0.0,,0.3,,0.9,,0.75,,0.85,,,,,,,,0.7,,,0.6,
BCAS4,,,0.0,,0.75,,,0.7,0.8,,,,0.9,,0.6,0.65,,,0.5,0.95,,,
BCAT1,,,0.0,,0.68,,0.6,0.7,0.75,,0.8,,,,,0.7,,,0.5,0.88,,,
BCAT2,,1.0,0.0,,0.85,,,0.2,0.6,0.5,0.8,,,,0.5,,0.7,,,,,0.6,
BCCIP,,,0.9,,0.4,,,0.5,0.6,,0.8,,,,0.7,,,,0.5,,,0.6,
BCDIN3D,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
BCHE,,,0.0,,0.88,,0.9,0.65,0.75,0.7,0.6,,,,,,,,0.6,,,,
BCKDHA,,,0.0,,0.61,,0.5,0.4,0.7,,0.9,,,,0.7,,,,0.5,,,0.6,
BCKDHB,,,0.0,,0.64,0.24,0.8,0.5,0.6,,0.75,,,,,,,,,,,0.5,
BCKDK,,1.0,0.0,,0.5,,0.5,0.6,0.7,,0.9,,,,0.8,,0.9,,,,,0.6,
BCL10,,1.0,0.35,,0.23,,0.1,0.2,0.8,,0.9,,,,,,,,,0.72,,,
BCL11A,,1.0,,0.9,0.8,,0.85,,0.7,,0.6,,,,,0.83,,,,,,,
BCL11B,,1.0,,0.9,0.1,,0.8,,0.5,,0.6,,,,0.6,,,0.9,0.4,0.9,,,
BCL2,,1.0,,0.57,0.15,,0.85,0.6,0.8,0.75,0.9,,,,0.8,,,,,0.85,,,
BCL2A1,,,,,,,,,,,,,,,,,,,,,,,
BCL2L1,,1.0,,0.94,0.0,,0.5,0.6,0.7,0.8,0.9,,,,,,,,,,,0.5,
BCL2L10,,,0.01,,0.79,,,0.4,0.6,0.5,0.8,,,,,0.75,,,0.5,0.92,,,
BCL2L11,,1.0,,0.89,0.0,,0.9,0.6,0.7,,0.8,,,,,,,,,0.77,,,
BCL2L12,,,0.0,,0.87,,,0.6,0.8,,0.9,,,,0.75,,,,0.5,,,,
BCL2L13,,,0.0,,0.43,,0.6,0.2,0.9,,0.7,,,,0.9,,,,0.5,,,0.6,
BCL2L14,,,0.0,,0.65,,,0.6,0.7,,0.8,,,,,0.75,,0.9,0.5,0.99,,,
BCL2L15,,,0.8,,,,0.7,0.5,0.6,,,,,,,,,,,,0.9,,
BCL2L2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
BCL3,,,,1.0,0.0,,0.8,,0.7,,0.9,,,,,0.8,,,0.5,0.81,,,
BCL6,,,,0.96,0.15,,0.8,0.5,0.85,,0.9,,,,,,,,,0.73,,,
BCL6B,,,0.06,,0.3,0.14,,0.1,0.6,,0.53,,,,0.7,,,,0.48,0.92,,,
BCL7A,,,0.2,,,,0.8,0.7,0.6,,0.7,,,,0.8,,,,,0.8,,,
BCL7B,,,0.19,,0.28,,0.1,,0.8,,0.9,,,,0.9,0.65,,0.75,0.4,,,0.6,
BCL7C,,,0.8,,,,0.5,0.6,0.7,,,,0.9,,0.5,0.6,,,,0.6,,,
BCL9,,,0.44,,,,,,,,,,,,,,0.75,,,,0.62,,
BCL9L,,,,,,,,,,,,,,,,,,,,,,,
BCLAF1,,,1.0,,1.0,,,,0.8,,0.9,,,,0.6,,,,0.8,0.7,,,
BCLAF3,,,0.0,,0.0,,,,0.6,,0.8,,,,0.9,,,,0.5,,,,
BCO1,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,0.84,,
BCO2,,,0.0,,0.93,,0.8,,0.6,,0.7,,,,0.7,0.75,,,0.5,0.84,,,
BCOR,,1.0,,1.0,0.02,,,,0.7,,0.9,,,,0.8,,,0.6,,0.63,,,
BCORL1,0.7,,,1.0,0.05,,,,0.8,,0.9,,,,0.9,,,,0.8,,,,
BCORP1,,,0.0,,0.0,,,,,,,,,,,,,,0.5,,,0.0,
BCR,,,,1.0,0.16,,,,0.9,0.9,0.85,,,,,,,,0.7,,,0.6,
BCS1L,0.8,,0.0,,,,,,,,,,0.9,,,0.75,,,,,,,
BDH1,,,0.0,,0.91,,,,0.85,,0.9,,,,0.7,,,,0.5,,,,
BDH2,,,0.0,,0.84,,0.1,,0.8,,0.9,,,,0.7,,,,0.5,,,,
BDKRB1,,,,,,,,,,,,,,,,,,,,,,,
BDKRB2,,,0.13,,0.31,,,,,,,,,,,,,,,,,,
BDNF,,1.0,,0.7,0.16,,0.52,,0.3,,0.723,,,,,0.78,,,,0.89,,,
BDP1,0.5,,0.0,,0.47,,,0.4,0.6,,0.7,,,,0.6,,,0.9,0.8,0.7,,,
BEAN1,0.8,,0.0,,,,,,,,,,0.9,,0.7,,,,,,0.7,,0.4
BECN1,,,,0.91,0.16,,,,,,,,,,,,,,,,,,
BECN2,,,1.0,,1.0,,,,0.7,,0.9,,,,,,0.8,,0.8,,,,
BEGAIN,,,,,,,,,,,,0.8,,,,,,,,,,,
BEND2,,,0.1,,0.27,,,,0.5,,0.6,,,,,,,,0.79,1.0,,,
BEND3,,,,0.94,0.15,,0.5,,0.6,,0.8,,,,0.7,0.78,,,0.75,0.76,,,
BEND4,,,,0.98,0.1,,,,0.9,,1.0,,,,0.8,,,,0.75,,,,
BEND5,,,0.21,,0.26,0.34,,,0.8,,0.98,,,,0.9,,,,0.84,,,,
BEND6,,,,,,,,,,,,,,,,,,,,,,,
BEND7,,,0.9,,,,0.7,0.5,0.6,,,,0.8,,0.9,,,,,,0.8,,
BEST1,0.8,,0.2,,,,,,,,,,0.7,,,,0.9,,,,,,
BEST2,0.7,,0.0,,0.93,,,,0.8,,0.9,,,,0.9,,0.8,,0.5,1.0,,,
BEST3,,,0.0,,0.99,,0.4,,0.7,,0.8,,,,0.8,,,,0.5,0.97,,,
BEST4,0.6,,0.0,,0.51,,,,0.8,,0.9,,,,0.8,,0.7,,0.5,0.94,,,
BET1,,,0.0,,0.74,,,0.6,0.75,,0.9,,,,0.8,,,,0.5,,,0.59,
BET1L,,,0.0,,,,0.7,0.5,,,,,0.8,,0.7,,,,,,,0.6,
BEX1,,,,0.57,0.0,,,,0.8,,0.93,,,,,0.75,,,0.25,0.88,,,
BEX2,,,0.1,,0.41,,,,0.8,,0.7,,,,0.7,0.75,,,0.5,0.85,,,
BEX3,,,0.0,,0.0,,,,0.7,,0.8,,,,0.9,,,,0.5,0.72,,,
BEX4,,,,0.69,0.0,,,,0.7,,0.9,,,,0.75,0.7,,,0.12,,,,
BEX5,,,0.0,,0.8,,,0.6,0.7,,0.9,,,,0.8,,,,0.5,,,,
BFAR,,,,,,,,,,,,0.9,,,,,,,,,,,
BFSP1,0.8,,0.0,,0.72,,,0.6,0.7,,0.9,,,,0.8,,,,0.5,0.65,,,
BFSP2,0.8,,0.0,,0.62,,,0.7,0.6,,0.9,,,,0.8,,,,0.5,1.0,,,
BGLAP,,,0.0,,0.5,,,0.6,0.7,,0.9,,,,0.7,,,,0.6,,,,
BGN,,,,,,,,,,,,0.8,,,,,,,,,,,
BHLHA15,,,0.1,,1.0,,,0.7,0.6,,0.9,,,,0.8,,,,0.5,,,,
BHLHA9,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,0.95,,
BHLHE22,,,,0.8,0.0,,,,0.7,,0.9,,,,0.6,0.75,,,0.5,0.94,,,
BHLHE23,,,0.19,,0.38,,,,0.5,,0.75,,,,,0.65,,,0.5,1.0,,,
BHLHE40,,,,1.0,0.0,,,,0.85,,0.9,,,,,,,,0.8,,,,
BHLHE41,0.9,,,1.0,0.0,,,,0.7,,,,0.9,,,0.8,,,0.8,0.76,,,
BHMT,,,0.0,,0.95,,0.8,0.5,0.7,,0.9,,,,,,,,0.6,1.0,,,
BHMT2,0.85,,0.0,,0.5,,0.8,0.5,0.75,,0.9,,,,0.7,,,,0.6,0.95,,,0.6
BICC1,,1.0,,0.84,0.2,,0.8,,0.7,,0.9,,,,0.6,,,0.6,,0.84,,,
BICD1,0.6,,0.0,,0.35,,,,0.8,,0.9,,,,,,0.8,,0.7,0.91,,,
BICD2,0.7,,,0.98,0.14,,,0.6,0.8,,0.9,,,,0.8,0.78,0.85,,0.75,0.77,,,
BICDL1,0.7,,0.0,,,,,,,,,,0.8,,,,,,,,0.88,,
BICDL2,,,0.0,,0.0,,,,0.7,,0.8,,,,,0.5,,,0.5,,,,
BICRA,,,0.0,,0.0,,,,0.7,,0.9,,,,0.5,,,,0.8,0.6,,,
BICRAL,,,0.0,,0.0,,,,0.7,,0.8,,,,,,,,0.5,,,,
BID,,,0.0,,,,,,,,0.9,,,,0.6,,,,,,,,0.5
BIK,,,0.0,,0.7,0.8,0.6,,0.75,,0.9,,,,0.85,,,,0.5,0.93,,,
BIN1,,1.0,,0.77,0.2,,0.9,,0.75,,0.85,,,,,0.78,,,0.5,0.88,,,
BIN2,,,0.0,,0.67,,,0.4,0.78,,,,,,,0.55,,,,0.99,,,
BIN3,,,0.0,,,,0.5,0.7,0.8,,,,0.9,,0.7,0.65,0.8,,,,0.6,,
BIRC2,,,0.45,,0.22,,,0.67,0.74,0.93,0.99,,,,0.85,,,,0.62,,,,
BIRC3,,,0.06,,0.28,,,0.2,0.36,0.11,0.5,,,,,,,,0.604,0.96,,,
BIRC5,,1.0,0.06,,0.41,,,0.6,0.85,0.8,0.9,,,,,,,,0.71,0.97,,,
BIRC6,,1.0,,1.0,0.93,,,,0.85,,0.9,,,,0.9,,,,0.8,,,0.6,
BIRC7,,,0.0,,0.81,,,0.7,0.85,0.8,0.9,,,,0.6,,,,0.75,,,,
BIRC8,,,0.0,,0.0,,,0.6,0.7,,0.9,,,,,,,,0.8,1.0,,,
BIVM,,,0.0,,0.4,,,,0.7,,,,0.9,,,,,,0.5,,0.54,,
BLACE,0.9,,0.0,,0.0,,,,,,0.75,,,,,0.5,,0.8,0.5,,,,
BLCAP,,,,0.52,0.0,,,,0.7,,0.75,,,,0.8,,,,0.87,,,0.57,
BLID,,,0.0,,,,0.5,,,,,,0.8,,,,,,,,0.9,,
BLK,,,0.0,,0.83,,0.9,,0.7,0.75,0.85,,,,,0.85,,0.9,0.7,0.99,,,
BLM,0.8,1.0,0.0,,,,,0.6,,,,,0.9,,,,0.85,,,,0.96,,
BLMH,,1.0,0.33,,0.23,0.47,,0.1,0.87,,0.88,,,,0.75,,,,0.91,,,,
BLNK,0.8,,,0.9,0.18,,,0.5,0.8,,,,0.95,,,,,0.7,0.91,0.97,,,
BLOC1S1,,,0.07,,0.38,,,,0.92,,0.98,,,,0.75,,,,0.76,,,0.47,
BLOC1S2,,,0.9,,0.54,,,,0.6,,0.8,,,,0.9,,,,0.7,,,0.7,0.6
BLOC1S3,0.8,,0.0,,,,,,,,,,0.9,,0.75,,0.85,,,,,,
BLOC1S4,,,0.1,,0.83,0.0,,,0.6,,0.8,,,,,0.7,,,0.5,,,0.52,
BLOC1S5,0.8,,0.0,,0.5,,,,0.7,,0.9,,,,0.7,,,,0.5,0.6,,,
BLOC1S6,0.8,,0.0,,0.5,,,0.7,0.6,,0.7,,,,0.8,,,,0.6,,,0.5,0.5
BLVRA,0.8,,0.0,,0.52,,,0.5,0.7,,0.9,,,,0.8,0.65,,,0.5,,,,
BLVRB,,,0.0,,,,,,0.75,0.9,,,0.85,,,,,,,0.65,,,
BLZF1,,,0.0,,0.63,,,0.5,0.7,,0.9,,,,0.7,,,,0.8,,,0.6,
BMF,,,0.9,,,,0.8,0.5,0.6,,,,0.7,,,0.75,,,,0.9,,,
BMI1,0.8,0.9,,0.94,,,,0.6,,,,,0.9,,,,,,,,,0.53,
BMP1,,,0.0,,0.31,,0.9,0.7,0.4,,0.6,,,,,,,,,,,,
BMP10,,,,,,,,,,,,1.0,,0.5,,,,,,,,,
BMP15,0.8,,0.0,,0.72,,,0.6,0.7,,0.9,,,,0.8,,,0.9,0.5,1.0,,,
BMP2,,1.0,,1.0,1.0,,0.9,,0.8,,0.6,,,,,,,,,0.85,,,
BMP2K,,,0.45,,0.22,,0.1,,0.6,0.5,0.8,,,,0.7,,,0.9,0.5,0.71,,,
BMP2KL,,,0.0,,0.0,,,,,,,,,,,0.1,,,0.5,,,0.2,
BMP3,,,0.06,,0.31,,0.5,,0.6,,0.9,,,,0.8,,,,0.85,,,,
BMP4,,,,0.96,0.07,,0.9,0.6,0.7,,0.8,,,,,0.85,,,,,,,
BMP5,,1.0,0.0,,,,0.8,0.6,0.7,,0.9,,,,0.9,,,,,0.93,,,
BMP6,,,,0.78,0.18,,0.75,,0.72,,0.85,,,,,0.76,,,0.65,,,,
BMP7,,1.0,0.4,,0.22,,0.8,0.6,0.7,,0.9,,,,,,,,0.5,,,,
BMP8A,,,0.0,,,,0.5,,,,,,0.9,,0.7,0.75,,,,,0.94,,
BMP8B,,1.0,0.0,,,,,,,,,,0.9,,0.7,,,,0.5,,,,
BMPER,1.0,1.0,0.0,,0.44,,,,0.7,,0.8,,,,0.8,,,,,0.91,,,
BMPR1A,0.8,,,0.85,0.18,,,,0.65,0.5,0.6,,,,,,,,,,,,
BMPR1B,0.8,,,1.0,0.07,,,,0.85,,,,0.9,,0.75,,,0.9,0.5,,0.86,,
BMPR2,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
BMS1,0.5,,0.0,,0.29,,,,0.8,,,,0.9,,0.7,,0.9,,0.7,,,0.6,
BMX,,,0.0,,0.67,,,0.5,0.85,0.6,0.8,,,,,,,,0.75,0.82,,,
BNC1,0.8,,,0.9,,,,,,,,,0.7,,,,0.85,,,,0.95,,
BNC2,,0.85,,0.9,0.7,,0.75,,0.65,,0.6,,,,0.8,,,,,0.95,,,
BNIP1,,,0.0,,,,0.8,0.2,0.7,,,,0.9,,0.6,,,,,,,0.5,
BNIP2,,,0.0,,0.5,,0.7,,0.8,,0.9,,,,0.8,,,,0.6,0.7,,,
BNIP3,,,0.0,,0.82,,,0.6,0.8,,0.9,,,,,,,,0.5,,,,
BNIP3L,,,,,,,,,,,,0.8,,,,,,,,,,,
BNIPL,,,0.0,,0.8,,,,0.6,,0.8,,,,,0.78,,,0.7,,,,0.75
BOC,,,0.0,,0.41,,,0.6,0.75,,0.9,,,,,0.75,,,0.8,,,,
BOD1,,,0.2,,,,0.5,0.6,0.7,,,,0.9,,0.7,0.6,0.8,,,,,,
BOD1L1,,,,1.0,0.17,,,,0.8,,0.9,,,,0.8,,,,0.75,,,,
BOD1L2,,,0.2,,0.4,,,,0.5,,0.6,,,,,,,,0.5,,1.0,,
BOK,,,0.16,,,,,,0.7,,,,,,,,,,,,0.76,,
BOLA1,,,0.04,,0.7,,,0.6,0.8,,0.95,,,,0.7,0.75,,,0.85,,,0.7,
BOLA2B,,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,0.9,,0.1,,,0.7,0.5
BOLA3,0.8,,0.15,,0.34,,,,0.9,,,,0.6,,0.7,,,,0.107,,,,
BOLL,,,0.05,,0.3,,0.4,0.6,0.7,,0.8,,,,,,,,0.75,1.0,,,
BOP1,,,0.1,,,,0.5,0.2,0.8,,,,0.9,,0.6,0.5,,,,,,0.3,
BORA,,,0.0,,0.41,,,,0.8,,0.9,,,,0.7,,,,0.7,,,,
BORCS5,,,,,,,,,,,,0.8,,,,,,,,,,,
BORCS6,,,0.9,,0.9,,,0.7,0.6,,0.8,,,,,,0.85,,0.7,,,0.8,
BORCS7,,,1.0,,1.0,,,0.8,0.7,,0.9,,,,0.8,,,,0.8,,,0.6,
BORCS8,,,1.0,,1.0,,,,,,,,0.9,,0.8,,,,0.8,,,0.6,
BORCS8-MEF2B,,,,,,,,,,,,,,,,,,,,,,,
BPESC1,0.7,,0.0,,0.0,,,,0.8,,,,,,,,,,0.5,,,,
BPGM,0.7,,0.8,,,,,0.6,,,,,0.9,,0.75,0.78,0.9,,,,,,
BPHL,,,0.0,,0.82,0.86,,0.4,0.67,,0.91,,,,,,,,0.5,,,0.57,
BPI,,,0.0,,0.88,,0.5,,0.8,,0.9,,,,0.8,,,,0.5,1.0,,,
BPIFA1,,,0.0,,,,,,,,,,,,,0.75,,,,,,,
BPIFA2,,,0.0,,0.91,,,,0.8,,0.9,,,,0.8,,,,0.75,,,,
BPIFA3,,,0.0,,0.7,,,,0.6,,0.8,,,,0.7,0.7,,,0.5,,,,
BPIFA4P,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.5,,,0.4,
BPIFB1,,,0.0,,0.62,,0.1,0.6,0.7,,0.8,,,,0.8,,,,0.5,1.0,,,
BPIFB2,,,0.0,,0.81,,,,,,,,0.9,,0.8,0.7,,,0.7,1.0,,,
BPIFB3,,,0.0,,0.9,,,,0.4,,0.6,,,,0.8,,,,0.76,1.0,,,
BPIFB4,,,,,,,,,,,,0.8,,,,,,,,,,,
BPIFB6,,,0.0,,0.89,,,,0.7,,0.8,,,,0.8,,,,0.5,1.0,,,
